trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
527,False,"{'a': 0.25, 'e': 0.005143610573030379}",30,6,41.595241684813935,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.25, 'e': 0.00509243079269919}",20,0,24.55873323386155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
529,False,"{'a': 0.25, 'e': 0.005041760259690979}",20,9,17.65426724447432,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.25, 'e': 0.004991593906910217}",20,0,22.00157831138109,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.25, 'e': 0.004941926717679818}",35,6,50.73413266588959,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.25, 'e': 0.004892753725239476}",25,14,19.512704536646794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.25, 'e': 0.004844070012248966}",25,0,27.36534368365998,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
534,False,"{'a': 0.25, 'e': 0.004795870710296421}",25,5,32.271773942384115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.25, 'e': 0.004748150999411473}",25,0,36.64386800706648,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
536,False,"{'a': 0.25, 'e': 0.004700906107583276}",25,8,29.003310436500694,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.25, 'e': 0.004654131310283272}",25,0,34.16561090155379,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
538,False,"{'a': 0.25, 'e': 0.004607821929992752}",25,20,9.96133927176532,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.25, 'e': 0.004561973335735096}",20,15,8.935745474738528,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.25, 'e': 0.004516580942612666}",20,0,31.661649347795205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
541,False,"{'a': 0.25, 'e': 0.004471640211348332}",20,10,16.883242400819466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
